community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_glyc_e	1.0	0.05	1	0.05	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_gthrd_e	1.0	0.48	1	0.48	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_h2s_e	1.0	0.47	1	0.47	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_nh4_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_rib__D_e	1.0	0.04	1	0.04	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_2dhglcn_e	1.0	0.31	1	0.31	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_acald_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_arg__L_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_cgly_e	1.0	0.06	1	0.06	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_fe2_e	1.0	0.69	1	0.69	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_fe3_e	1.0	0.3	1	0.3	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_glc__D_e	1.0	0.41	1	0.41	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_glyc_e	1.0	0.05	1	0.05	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_gthrd_e	1.0	0.48	1	0.48	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_h2s_e	1.0	0.47	1	0.47	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_istfrnA_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_nh4_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_pi_e	1.0	1.0	1	1.0	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Thalassospira_mesophila_JCM_18969_	M_rib__D_e	1.0	0.04	1	0.04	1721.Soil.NIL.100.N.14.2
all	minimal	Pseudomonas_fuscovaginae_LMG_2158_	Thalassospira_mesophila_JCM_18969_	M_acald_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pseudomonas_fuscovaginae_LMG_2158_	Thalassospira_mesophila_JCM_18969_	M_arg__L_e	1.0	0.41	1	0.41	1721.Soil.NIL.100.N.14.2
all	minimal	Pseudomonas_fuscovaginae_LMG_2158_	Thalassospira_mesophila_JCM_18969_	M_etoh_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
