community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_h2_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_h2o_e	0.25	0.02	1	0.005	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_so3_e	0.25	0.48	1	0.12	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_tsul_e	0.25	0.03	1	0.0075	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_val__L_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_arg__L_e	0.25	0.02	1	0.005	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_etoh_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_fe2_e	0.25	0.96	1	0.24	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_fe3pyovd_kt_e	0.25	0.06	1	0.015	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_h2_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_h2o_e	0.25	0.02	1	0.005	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_orn_e	0.25	0.02	1	0.005	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_pi_e	0.25	0.06	1	0.015	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_s_e	0.25	0.46	1	0.115	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_so3_e	0.25	0.48	1	0.12	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_tsul_e	0.25	0.03	1	0.0075	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Pelagicola_litorisediminis_CECT_8287_	M_val__L_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_cellb_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_etoh_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_fe2_e	0.25	0.96	1	0.24	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_fe3pyovd_kt_e	0.25	0.06	1	0.015	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_h2_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_h2o_e	0.25	0.02	1	0.005	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_s_e	0.25	0.46	1	0.115	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Roseovarius_nanhaiticus_DSM_29590_	M_val__L_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_acald_e	1.0	0.03	1	0.03	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_etoh_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_fe2_e	1.0	0.47	1	0.47	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_fe3_e	1.0	0.52	1	0.52	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_glyb_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_glyc_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_h2_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_h2o_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_h_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_leu__L_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Pelagicola_litorisediminis_CECT_8287_	Halocynthiibacter_namhaensis_RA2_3_	M_lys__L_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
